Label,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
Red,11/8/2018,2018,11,8,Thursday,44,2018-44,30.12,30.92,29,29.41,10523900,29.41,-0.01933978,38.63214286,42.0364
Red,11/9/2018,2018,11,9,Friday,44,2018-44,28.98,30.82,28.85,30.25,4361100,30.25,0.028561714,37.93428571,41.677
Red,11/12/2018,2018,11,12,Monday,45,2018-45,30.15,31.74,29.88,31.04,4796900,31.04,0.026115736,37.25142857,41.3248
Red,11/13/2018,2018,11,13,Tuesday,45,2018-45,31.39,31.89,30.44,30.46,3194200,30.46,-0.018685631,36.62071429,40.9802
Red,11/14/2018,2018,11,14,Wednesday,45,2018-45,30.81,31.03,28.36,28.41,4254800,28.41,-0.067301348,35.675,40.5948
Red,11/15/2018,2018,11,15,Thursday,45,2018-45,28.49,28.64,27,28.05,5033600,28.05,-0.01267163,34.94285714,40.2632
Red,11/16/2018,2018,11,16,Friday,45,2018-45,28.05,29.28,27.66,28.91,2758800,28.91,0.030659573,34.36071429,39.943
Green,11/19/2018,2018,11,19,Monday,46,2018-46,28.74,29.05,27.06,27.16,3674500,27.16,-0.060532688,33.49642857,39.564
Green,11/20/2018,2018,11,20,Tuesday,46,2018-46,26.57,28.4,26.38,28.23,4973300,28.23,0.039396171,32.63714286,39.1862
Green,11/21/2018,2018,11,21,Wednesday,46,2018-46,29.16,29.8,27.92,29.18,6106100,29.18,0.033652143,31.72571429,38.8192
Green,11/23/2018,2018,11,23,Friday,46,2018-46,28.97,29.72,28.97,29.39,1201100,29.39,0.007196676,30.855,38.475
Green,11/26/2018,2018,11,26,Monday,47,2018-47,30,32.96,30,32.89,8521600,32.89,0.119088129,30.315,38.202
Green,11/27/2018,2018,11,27,Tuesday,47,2018-47,32.59,33.9,31.81,33.47,5532900,33.47,0.017634601,29.77428571,37.9864
Green,11/28/2018,2018,11,28,Wednesday,47,2018-47,33.71,35.33,33.31,35.15,5175000,35.15,0.050194232,30.14285714,37.7966
Green,11/29/2018,2018,11,29,Thursday,47,2018-47,36.06,37.2,35.16,36.8,4511500,36.8,0.046941591,30.67071429,37.6504
Green,11/30/2018,2018,11,30,Friday,47,2018-47,36.4,37.47,36.03,36.55,4309200,36.55,-0.006793478,31.12071429,37.488
Red,12/3/2018,2018,12,3,Monday,48,2018-48,37.55,37.75,35.55,37.02,3365200,37.02,0.012859125,31.54785714,37.3722
Red,12/4/2018,2018,12,4,Tuesday,48,2018-48,36.57,37.5,35.18,35.84,2684500,35.84,-0.031874662,31.93214286,37.2288
Red,12/6/2018,2018,12,6,Thursday,48,2018-48,35.48,37.04,34.17,37.02,3326400,37.02,0.032924107,32.54714286,37.0948
Red,12/7/2018,2018,12,7,Friday,48,2018-48,36.8,38,35.34,36.1,2966400,36.1,-0.024851486,33.12214286,36.9672
Red,12/10/2018,2018,12,10,Monday,49,2018-49,36.05,37.45,35.55,36.1,2620300,36.1,0,33.63571429,36.825
Red,12/11/2018,2018,12,11,Tuesday,49,2018-49,36.83,37.32,35.93,36.01,1892900,36.01,-0.002493075,34.26785714,36.6602
